"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE44600501010005678901";"01.01.2025";"01.01.2025";"KARTENZAHLUNG";"EDEKA SAGT DANKE";"";"";"";"";"";"";"EDEKA Nagel";"";"";"-49,30";"EUR";"Umsatz gebucht"
"DE44600501010005678901";"01.01.2025";"01.01.2025";"DAUERAUFTRAG";"MIETE 01/2025";"";"";"";"";"";"";"Immobilien Schmid Verwaltung";"";"";"-1.320,00";"EUR";"Umsatz gebucht"
"DE44600501010005678901";"01.01.2025";"01.01.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-44,50";"EUR";"Umsatz gebucht"
"DE44600501010005678901";"02.01.2025";"02.01.2025";"GUTSCHRIFT";"HAUSHALT 01/2025";"";"";"";"";"";"";"Jonas Riedel";"";"";"1.500,00";"EUR";"Umsatz gebucht"
"DE44600501010005678901";"02.01.2025";"02.01.2025";"GUTSCHRIFT";"HAUSHALT 01/2025";"";"";"";"";"";"";"Miriam Riedel";"";"";"1.500,00";"EUR";"Umsatz gebucht"
"DE44600501010005678901";"02.01.2025";"02.01.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-27,00";"EUR";"Umsatz gebucht"
"DE44600501010005678901";"02.01.2025";"02.01.2025";"KARTENZAHLUNG";"DM FIL 7701 STUTTGART";"";"";"";"";"";"";"dm drogerie markt";"";"";"-17,40";"EUR";"Umsatz gebucht"
"DE44600501010005678901";"03.01.2025";"03.01.2025";"KARTENZAHLUNG";"LIEFERANDO BESTELLUNG";"";"";"";"";"";"";"Lieferando.de";"";"";"-25,60";"EUR";"Umsatz gebucht"
"DE44600501010005678901";"04.01.2025";"04.01.2025";"KARTENZAHLUNG";"VAPIANO STUTTGART";"";"";"";"";"";"";"Vapiano SE";"";"";"-33,60";"EUR";"Umsatz gebucht"
"DE44600501010005678901";"04.01.2025";"04.01.2025";"KARTENZAHLUNG";"DM FIL 7701 STUTTGART";"";"";"";"";"";"";"dm drogerie markt";"";"";"-38,50";"EUR";"Umsatz gebucht"
