"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE18600501010006789012";"01.01.2025";"01.01.2025";"DAUERAUFTRAG";"HAUSHALT 01/2025";"";"";"";"";"";"";"Gemeinschaftskonto Riedel";"";"";"-1.500,00";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"06.01.2025";"06.01.2025";"BARGELDAUSZAHLUNG";"GA NR00012345 AUSZAHLUNG";"";"";"";"";"";"";"Sparkasse Geldautomat";"";"";"-161,70";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"06.01.2025";"06.01.2025";"FOLGELASTSCHRIFT";"MITGLIEDSCHAFT L 01/2025";"";"";"";"";"";"";"Urban Sports Club GmbH";"";"";"-49,00";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"06.01.2025";"06.01.2025";"KARTENZAHLUNG";"DEAN+DAVID 7711";"";"";"";"";"";"";"dean and david";"";"";"-8,90";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"09.01.2025";"09.01.2025";"KARTENZAHLUNG";"DECATHLON STUTTGART";"";"";"";"";"";"";"Decathlon Deutschland";"";"";"-57,30";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"09.01.2025";"09.01.2025";"KARTENZAHLUNG";"DEAN+DAVID 7711";"";"";"";"";"";"";"dean and david";"";"";"-13,80";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"10.01.2025";"10.01.2025";"KARTENZAHLUNG";"DOENER HAUS CANNSTATT";"";"";"";"";"";"";"Döner Haus Bad Cannstatt";"";"";"-7,70";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"11.01.2025";"11.01.2025";"KARTENZAHLUNG";"SPOTIFY PREMIUM";"";"";"";"";"";"";"SPOTIFY AB";"";"";"-10,99";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"12.01.2025";"12.01.2025";"KARTENZAHLUNG";"DEAN+DAVID 7711";"";"";"";"";"";"";"dean and david";"";"";"-12,50";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"14.01.2025";"14.01.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-27,90";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"15.01.2025";"15.01.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-21,40";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"15.01.2025";"15.01.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-7,50";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"17.01.2025";"17.01.2025";"KARTENZAHLUNG";"STARBUCKS STUTTGART HBF";"";"";"";"";"";"";"Starbucks Coffee";"";"";"-5,50";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"18.01.2025";"18.01.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-27,50";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"21.01.2025";"21.01.2025";"KARTENZAHLUNG";"DOENER HAUS CANNSTATT";"";"";"";"";"";"";"Döner Haus Bad Cannstatt";"";"";"-9,10";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"22.01.2025";"22.01.2025";"KARTENZAHLUNG";"ADOBE FOTO ABO";"";"";"";"";"";"";"Adobe Systems Software";"";"";"-23,79";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"26.01.2025";"26.01.2025";"KARTENZAHLUNG";"DEAN+DAVID 7711";"";"";"";"";"";"";"dean and david";"";"";"-8,90";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"28.01.2025";"28.01.2025";"LOHN  GEHALT";"GEHALT 01/2025 PERS.NR 2214";"";"";"";"";"";"";"Bosch Rexroth Personalservice";"";"";"3.120,00";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"01.02.2025";"01.02.2025";"DAUERAUFTRAG";"HAUSHALT 02/2025";"";"";"";"";"";"";"Gemeinschaftskonto Riedel";"";"";"-1.500,00";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"01.02.2025";"01.02.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-20,00";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"05.02.2025";"05.02.2025";"KARTENZAHLUNG";"DOENER HAUS CANNSTATT";"";"";"";"";"";"";"Döner Haus Bad Cannstatt";"";"";"-10,40";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"05.02.2025";"05.02.2025";"KARTENZAHLUNG";"STARBUCKS STUTTGART HBF";"";"";"";"";"";"";"Starbucks Coffee";"";"";"-11,80";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"05.02.2025";"05.02.2025";"KARTENZAHLUNG";"STARBUCKS STUTTGART HBF";"";"";"";"";"";"";"Starbucks Coffee";"";"";"-7,20";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"06.02.2025";"06.02.2025";"FOLGELASTSCHRIFT";"MITGLIEDSCHAFT L 02/2025";"";"";"";"";"";"";"Urban Sports Club GmbH";"";"";"-49,00";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"07.02.2025";"07.02.2025";"KARTENZAHLUNG";"AMZN Mktp DE 771204";"";"";"";"";"";"";"AMAZON EU S.A R.L.";"";"";"-16,80";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"08.02.2025";"08.02.2025";"KARTENZAHLUNG";"DEAN+DAVID 7711";"";"";"";"";"";"";"dean and david";"";"";"-12,00";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"11.02.2025";"11.02.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-13,10";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"11.02.2025";"11.02.2025";"KARTENZAHLUNG";"SPOTIFY PREMIUM";"";"";"";"";"";"";"SPOTIFY AB";"";"";"-10,99";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"13.02.2025";"13.02.2025";"KARTENZAHLUNG";"STARBUCKS STUTTGART HBF";"";"";"";"";"";"";"Starbucks Coffee";"";"";"-4,90";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"19.02.2025";"19.02.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-30,00";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"19.02.2025";"19.02.2025";"KARTENZAHLUNG";"STARBUCKS STUTTGART HBF";"";"";"";"";"";"";"Starbucks Coffee";"";"";"-11,90";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"21.02.2025";"21.02.2025";"KARTENZAHLUNG";"DECATHLON STUTTGART";"";"";"";"";"";"";"Decathlon Deutschland";"";"";"-65,80";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"21.02.2025";"21.02.2025";"BARGELDAUSZAHLUNG";"GA NR00012345 AUSZAHLUNG";"";"";"";"";"";"";"Sparkasse Geldautomat";"";"";"-99,10";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"21.02.2025";"21.02.2025";"BARGELDAUSZAHLUNG";"GA NR00012345 AUSZAHLUNG";"";"";"";"";"";"";"Sparkasse Geldautomat";"";"";"-86,80";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"22.02.2025";"22.02.2025";"KARTENZAHLUNG";"ADOBE FOTO ABO";"";"";"";"";"";"";"Adobe Systems Software";"";"";"-23,79";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"22.02.2025";"22.02.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-24,50";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"28.02.2025";"28.02.2025";"LOHN  GEHALT";"GEHALT 02/2025 PERS.NR 2214";"";"";"";"";"";"";"Bosch Rexroth Personalservice";"";"";"3.120,00";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"28.02.2025";"28.02.2025";"KARTENZAHLUNG";"THALIA STUTTGART";"";"";"";"";"";"";"Thalia Bücher GmbH";"";"";"-32,30";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"01.03.2025";"01.03.2025";"DAUERAUFTRAG";"HAUSHALT 03/2025";"";"";"";"";"";"";"Gemeinschaftskonto Riedel";"";"";"-1.500,00";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"01.03.2025";"01.03.2025";"BARGELDAUSZAHLUNG";"GA NR00012345 AUSZAHLUNG";"";"";"";"";"";"";"Sparkasse Geldautomat";"";"";"-153,20";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"02.03.2025";"02.03.2025";"KARTENZAHLUNG";"DEAN+DAVID 7711";"";"";"";"";"";"";"dean and david";"";"";"-10,40";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"05.03.2025";"05.03.2025";"KARTENZAHLUNG";"DEAN+DAVID 7711";"";"";"";"";"";"";"dean and david";"";"";"-14,10";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"06.03.2025";"06.03.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-20,40";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"06.03.2025";"06.03.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-11,20";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"06.03.2025";"06.03.2025";"FOLGELASTSCHRIFT";"MITGLIEDSCHAFT L 03/2025";"";"";"";"";"";"";"Urban Sports Club GmbH";"";"";"-49,00";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"08.03.2025";"08.03.2025";"KARTENZAHLUNG";"DOENER HAUS CANNSTATT";"";"";"";"";"";"";"Döner Haus Bad Cannstatt";"";"";"-7,90";"EUR";"Umsatz gebucht"
"DE18600501010006789012";"11.03.2025";"11.03.2025";"KARTENZAHLUNG";"SPOTIFY PREMIUM";"";"";"";"";"";"";"SPOTIFY AB";"";"";"-10,99";"EUR";"Umsatz gebucht"
