"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE31440501990002345678";"01.01.2025";"01.01.2025";"KARTENZAHLUNG";"PIZZERIA DA VINCI";"";"";"";"";"";"";"Pizzeria Da Vinci";"";"";"-40,30";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"01.01.2025";"01.01.2025";"DAUERAUFTRAG";"MIETE 01/2025";"";"";"";"";"";"";"Wohnungsgenossenschaft Dortmund-Sued";"";"";"-1.450,00";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"02.01.2025";"02.01.2025";"KARTENZAHLUNG";"KAMPS BACKSTUBE";"";"";"";"";"";"";"Bäckerei Kamps";"";"";"-15,70";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"02.01.2025";"02.01.2025";"KARTENZAHLUNG";"KAMPS BACKSTUBE";"";"";"";"";"";"";"Bäckerei Kamps";"";"";"-4,40";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"02.01.2025";"02.01.2025";"KARTENZAHLUNG";"KAUFLAND 2210 DORTMUND";"";"";"";"";"";"";"KAUFLAND DORTMUND";"";"";"-25,10";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"02.01.2025";"02.01.2025";"FOLGELASTSCHRIFT";"KITA BEITRAG 01/2025";"";"";"";"";"";"";"Stadt Dortmund Elternbeitrag";"";"";"-250,00";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"03.01.2025";"03.01.2025";"FOLGELASTSCHRIFT";"STROM ABSCHLAG 01/2025";"";"";"";"";"";"";"Stadtwerke Dortmund AG";"";"";"-89,00";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"04.01.2025";"04.01.2025";"KARTENZAHLUNG";"ARAL STATION 4471";"";"";"";"";"";"";"ARAL Tankstelle";"";"";"-63,80";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"04.01.2025";"04.01.2025";"FOLGELASTSCHRIFT";"MAGENTA ZUHAUSE XL";"";"";"";"";"";"";"Telekom Deutschland GmbH";"";"";"-49,99";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"05.01.2025";"05.01.2025";"KARTENZAHLUNG";"APOTHEKE WESTENHELLWEG";"";"";"";"";"";"";"Apotheke am Westenhellweg";"";"";"-15,90";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"06.01.2025";"06.01.2025";"KARTENZAHLUNG";"EDEKA SAGT DANKE";"";"";"";"";"";"";"EDEKA Sander";"";"";"-61,20";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"06.01.2025";"06.01.2025";"FOLGELASTSCHRIFT";"MOBILFUNK FAMILIE 01/2025";"";"";"";"";"";"";"Vodafone GmbH";"";"";"-17,99";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"07.01.2025";"07.01.2025";"KARTENZAHLUNG";"DISNEY PLUS STANDARD";"";"";"";"";"";"";"DISNEY PLUS";"";"";"-8,99";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"07.01.2025";"07.01.2025";"KARTENZAHLUNG";"ZALANDO BESTELLUNG";"";"";"";"";"";"";"Zalando SE";"";"";"-89,80";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"08.01.2025";"08.01.2025";"FOLGELASTSCHRIFT";"SPOTIFY FAMILY";"";"";"";"";"";"";"SPOTIFY AB";"";"";"-17,99";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"09.01.2025";"09.01.2025";"KARTENZAHLUNG";"AMZN PRIME DE MITGLIEDSCHAFT";"";"";"";"";"";"";"AMAZON PRIME MEMBERSHIP";"";"";"-8,99";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"09.01.2025";"09.01.2025";"KARTENZAHLUNG";"KAMPS BACKSTUBE";"";"";"";"";"";"";"Bäckerei Kamps";"";"";"-15,10";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"09.01.2025";"09.01.2025";"KARTENZAHLUNG";"KAMPS BACKSTUBE";"";"";"";"";"";"";"Bäckerei Kamps";"";"";"-14,30";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"09.01.2025";"09.01.2025";"KARTENZAHLUNG";"EDEKA SAGT DANKE";"";"";"";"";"";"";"EDEKA Sander";"";"";"-41,90";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"10.01.2025";"10.01.2025";"KARTENZAHLUNG";"APOTHEKE WESTENHELLWEG";"";"";"";"";"";"";"Apotheke am Westenhellweg";"";"";"-12,30";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"10.01.2025";"10.01.2025";"KARTENZAHLUNG";"MCDONALDS 4471 DORTMUND";"";"";"";"";"";"";"MCDONALDS DEUTSCHLAND";"";"";"-19,30";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"11.01.2025";"11.01.2025";"KARTENZAHLUNG";"ARAL STATION 4471";"";"";"";"";"";"";"ARAL Tankstelle";"";"";"-87,30";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"11.01.2025";"11.01.2025";"KARTENZAHLUNG";"ARAL STATION 4471";"";"";"";"";"";"";"ARAL Tankstelle";"";"";"-73,50";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"12.01.2025";"12.01.2025";"FOLGELASTSCHRIFT";"HAUSRAT HAFTPFLICHT UNFALL";"";"";"";"";"";"";"Allianz Versicherungs-AG";"";"";"-68,00";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"13.01.2025";"13.01.2025";"KARTENZAHLUNG";"DECATHLON DORTMUND";"";"";"";"";"";"";"Decathlon Deutschland";"";"";"-76,00";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"14.01.2025";"14.01.2025";"FOLGELASTSCHRIFT";"ZUSATZBEITRAG 01/2025";"";"";"";"";"";"";"Techniker Krankenkasse";"";"";"-220,00";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"15.01.2025";"15.01.2025";"GUTSCHRIFT";"KINDERGELD 01/2025";"";"";"";"";"";"";"Familienkasse Nordrhein-Westfalen";"";"";"500,00";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"15.01.2025";"15.01.2025";"KARTENZAHLUNG";"KAUFLAND 2210 DORTMUND";"";"";"";"";"";"";"KAUFLAND DORTMUND";"";"";"-101,50";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"16.01.2025";"16.01.2025";"KARTENZAHLUNG";"AMZN Mktp DE 118902";"";"";"";"";"";"";"AMAZON EU S.A R.L.";"";"";"-80,40";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"16.01.2025";"16.01.2025";"KARTENZAHLUNG";"BURGER KING 2201";"";"";"";"";"";"";"BURGER KING";"";"";"-13,10";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"16.01.2025";"16.01.2025";"LOHN  GEHALT";"GEHALT 01/2025 PERS.NR 8812";"";"";"";"";"";"";"Hoesch Werkstoffe Personal";"";"";"2.320,00";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"17.01.2025";"17.01.2025";"KARTENZAHLUNG";"ROSSMANN FIL 1104";"";"";"";"";"";"";"Rossmann Drogeriemarkt";"";"";"-44,60";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"20.01.2025";"20.01.2025";"KARTENZAHLUNG";"KAMPS BACKSTUBE";"";"";"";"";"";"";"Bäckerei Kamps";"";"";"-9,50";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"23.01.2025";"23.01.2025";"KARTENZAHLUNG";"EDEKA SAGT DANKE";"";"";"";"";"";"";"EDEKA Sander";"";"";"-83,20";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"24.01.2025";"24.01.2025";"KARTENZAHLUNG";"ALDI SUED SAGT DANKE";"";"";"";"";"";"";"ALDI SÜD";"";"";"-37,20";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"25.01.2025";"25.01.2025";"FOLGELASTSCHRIFT";"DEUTSCHLANDTICKET 2 PERSONEN 01/2025";"";"";"";"";"";"";"Deutsche Bahn AG";"";"";"-98,00";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"25.01.2025";"25.01.2025";"KARTENZAHLUNG";"PIZZERIA DA VINCI";"";"";"";"";"";"";"Pizzeria Da Vinci";"";"";"-44,90";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"25.01.2025";"25.01.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-86,80";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"26.01.2025";"26.01.2025";"KARTENZAHLUNG";"KAUFLAND 2210 DORTMUND";"";"";"";"";"";"";"KAUFLAND DORTMUND";"";"";"-37,00";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"27.01.2025";"27.01.2025";"BARGELDAUSZAHLUNG";"GA NR00012345 AUSZAHLUNG";"";"";"";"";"";"";"Sparkasse Geldautomat";"";"";"-86,50";"EUR";"Umsatz gebucht"
"DE31440501990002345678";"28.01.2025";"28.01.2025";"LOHN  GEHALT";"GEHALT 01/2025 PERS.NR 3390";"";"";"";"";"";"";"Klinikum Dortmund gGmbH";"";"";"2.680,00";"EUR";"Umsatz gebucht"
