"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE07200505501003456789";"01.01.2025";"01.01.2025";"DAUERAUFTRAG";"ATELIERMIETE 01/2025";"";"";"";"";"";"";"Atelierhaus Ottensen GbR";"";"";"-780,00";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"02.01.2025";"02.01.2025";"FOLGELASTSCHRIFT";"COWORKING FLEX 01/2025";"";"";"";"";"";"";"Betahaus Hamburg";"";"";"-199,00";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"02.01.2025";"02.01.2025";"KARTENZAHLUNG";"FREENOW FAHRT";"";"";"";"";"";"";"FREENOW GmbH";"";"";"-12,60";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"03.01.2025";"03.01.2025";"KARTENZAHLUNG";"GITHUB TEAM ABO";"";"";"";"";"";"";"GitHub Inc";"";"";"-18,99";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"03.01.2025";"03.01.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-60,10";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"04.01.2025";"04.01.2025";"KARTENZAHLUNG";"AMZN Mktp DE 552108";"";"";"";"";"";"";"AMAZON EU S.A R.L.";"";"";"-84,60";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"04.01.2025";"04.01.2025";"KARTENZAHLUNG";"BIO COMPANY HAMBURG";"";"";"";"";"";"";"BIO COMPANY SE";"";"";"-34,10";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"04.01.2025";"04.01.2025";"KARTENZAHLUNG";"DM FIL 2207 HAMBURG";"";"";"";"";"";"";"dm drogerie markt";"";"";"-21,80";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"05.01.2025";"05.01.2025";"KARTENZAHLUNG";"LIEFERANDO BESTELLUNG";"";"";"";"";"";"";"Lieferando.de";"";"";"-23,20";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"05.01.2025";"05.01.2025";"FOLGELASTSCHRIFT";"MOBILFUNK 01/2025";"";"";"";"";"";"";"Telefonica Germany GmbH";"";"";"-39,99";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"06.01.2025";"06.01.2025";"FOLGELASTSCHRIFT";"MITGLIEDSCHAFT M 01/2025";"";"";"";"";"";"";"Urban Sports Club GmbH";"";"";"-49,00";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"09.01.2025";"09.01.2025";"KARTENZAHLUNG";"DROPBOX PLUS";"";"";"";"";"";"";"Dropbox International";"";"";"-11,99";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"09.01.2025";"09.01.2025";"KARTENZAHLUNG";"DM FIL 2207 HAMBURG";"";"";"";"";"";"";"dm drogerie markt";"";"";"-21,90";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"10.01.2025";"10.01.2025";"ONLINE-UEBERWEISUNG";"UMSATZSTEUER VORANMELDUNG";"";"";"";"";"";"";"Finanzamt Hamburg-Nord";"";"";"-1.800,00";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"11.01.2025";"11.01.2025";"KARTENZAHLUNG";"CAFE ELBGOLD OTTENSEN";"";"";"";"";"";"";"Cafe Elbgold";"";"";"-6,70";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"11.01.2025";"11.01.2025";"KARTENZAHLUNG";"MICROSOFT 365 SINGLE";"";"";"";"";"";"";"Microsoft Ireland Operations";"";"";"-10,99";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"11.01.2025";"11.01.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-57,10";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"11.01.2025";"11.01.2025";"KARTENZAHLUNG";"STARBUCKS MOENCKEBERGSTRASSE";"";"";"";"";"";"";"Starbucks Coffee";"";"";"-12,20";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"12.01.2025";"12.01.2025";"KARTENZAHLUNG";"BIO COMPANY HAMBURG";"";"";"";"";"";"";"BIO COMPANY SE";"";"";"-26,20";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"14.01.2025";"14.01.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-32,90";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"15.01.2025";"15.01.2025";"FOLGELASTSCHRIFT";"KRANKENVERSICHERUNG 01/2025";"";"";"";"";"";"";"Techniker Krankenkasse";"";"";"-840,00";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"15.01.2025";"15.01.2025";"KARTENZAHLUNG";"DEAN+DAVID 2201";"";"";"";"";"";"";"dean and david";"";"";"-14,30";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"17.01.2025";"17.01.2025";"GUTSCHRIFT";"RECHNUNG 2025-001 WEBDESIGN";"";"";"";"";"";"";"Kreativagentur Nord GmbH";"";"";"2.680,00";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"18.01.2025";"18.01.2025";"KARTENZAHLUNG";"DEAN+DAVID 2201";"";"";"";"";"";"";"dean and david";"";"";"-11,60";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"21.01.2025";"21.01.2025";"BARGELDAUSZAHLUNG";"GA NR00012345 AUSZAHLUNG";"";"";"";"";"";"";"Sparkasse Geldautomat";"";"";"-176,40";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"21.01.2025";"21.01.2025";"KARTENZAHLUNG";"STARBUCKS MOENCKEBERGSTRASSE";"";"";"";"";"";"";"Starbucks Coffee";"";"";"-9,70";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"22.01.2025";"22.01.2025";"KARTENZAHLUNG";"ADOBE CREATIVE CLOUD ABO";"";"";"";"";"";"";"Adobe Systems Software";"";"";"-64,99";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"22.01.2025";"22.01.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-34,40";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"25.01.2025";"25.01.2025";"FOLGELASTSCHRIFT";"DEUTSCHLANDTICKET 01/2025";"";"";"";"";"";"";"HVV Hamburger Verkehrsverbund";"";"";"-49,00";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"27.01.2025";"27.01.2025";"KARTENZAHLUNG";"BIO COMPANY HAMBURG";"";"";"";"";"";"";"BIO COMPANY SE";"";"";"-47,30";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"27.01.2025";"27.01.2025";"KARTENZAHLUNG";"DB FERNVERKEHR TICKET";"";"";"";"";"";"";"Deutsche Bahn AG";"";"";"-116,60";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"28.01.2025";"28.01.2025";"KARTENZAHLUNG";"ALNATURA HAMBURG";"";"";"";"";"";"";"Alnatura Produktions";"";"";"-44,00";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"28.01.2025";"28.01.2025";"KARTENZAHLUNG";"DEAN+DAVID 2201";"";"";"";"";"";"";"dean and david";"";"";"-15,50";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"01.02.2025";"01.02.2025";"DAUERAUFTRAG";"ATELIERMIETE 02/2025";"";"";"";"";"";"";"Atelierhaus Ottensen GbR";"";"";"-780,00";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"02.02.2025";"02.02.2025";"FOLGELASTSCHRIFT";"COWORKING FLEX 02/2025";"";"";"";"";"";"";"Betahaus Hamburg";"";"";"-199,00";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"03.02.2025";"03.02.2025";"KARTENZAHLUNG";"GITHUB TEAM ABO";"";"";"";"";"";"";"GitHub Inc";"";"";"-18,99";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"05.02.2025";"05.02.2025";"FOLGELASTSCHRIFT";"MOBILFUNK 02/2025";"";"";"";"";"";"";"Telefonica Germany GmbH";"";"";"-39,99";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"06.02.2025";"06.02.2025";"KARTENZAHLUNG";"DENNS BIOMARKT OTTENSEN";"";"";"";"";"";"";"DENNS BIOMARKT";"";"";"-35,40";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"06.02.2025";"06.02.2025";"KARTENZAHLUNG";"LIEFERANDO BESTELLUNG";"";"";"";"";"";"";"Lieferando.de";"";"";"-22,50";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"06.02.2025";"06.02.2025";"FOLGELASTSCHRIFT";"MITGLIEDSCHAFT M 02/2025";"";"";"";"";"";"";"Urban Sports Club GmbH";"";"";"-49,00";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"06.02.2025";"06.02.2025";"GUTSCHRIFT";"RECHNUNG 2025-002 ILLUSTRATION";"";"";"";"";"";"";"Verlag Hoffmann KG";"";"";"1.420,00";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"07.02.2025";"07.02.2025";"KARTENZAHLUNG";"ALNATURA HAMBURG";"";"";"";"";"";"";"Alnatura Produktions";"";"";"-35,20";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"08.02.2025";"08.02.2025";"KARTENZAHLUNG";"ALNATURA HAMBURG";"";"";"";"";"";"";"Alnatura Produktions";"";"";"-35,50";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"09.02.2025";"09.02.2025";"KARTENZAHLUNG";"DB FERNVERKEHR TICKET";"";"";"";"";"";"";"Deutsche Bahn AG";"";"";"-48,30";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"09.02.2025";"09.02.2025";"KARTENZAHLUNG";"DROPBOX PLUS";"";"";"";"";"";"";"Dropbox International";"";"";"-11,99";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"09.02.2025";"09.02.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-48,30";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"10.02.2025";"10.02.2025";"KARTENZAHLUNG";"AMZN Mktp DE 552108";"";"";"";"";"";"";"AMAZON EU S.A R.L.";"";"";"-83,40";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"11.02.2025";"11.02.2025";"KARTENZAHLUNG";"MICROSOFT 365 SINGLE";"";"";"";"";"";"";"Microsoft Ireland Operations";"";"";"-10,99";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"11.02.2025";"11.02.2025";"BARGELDAUSZAHLUNG";"GA NR00012345 AUSZAHLUNG";"";"";"";"";"";"";"Sparkasse Geldautomat";"";"";"-178,60";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"11.02.2025";"11.02.2025";"KARTENZAHLUNG";"DM FIL 2207 HAMBURG";"";"";"";"";"";"";"dm drogerie markt";"";"";"-12,40";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"12.02.2025";"12.02.2025";"KARTENZAHLUNG";"DEAN+DAVID 2201";"";"";"";"";"";"";"dean and david";"";"";"-13,40";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"13.02.2025";"13.02.2025";"KARTENZAHLUNG";"ALNATURA HAMBURG";"";"";"";"";"";"";"Alnatura Produktions";"";"";"-62,40";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"13.02.2025";"13.02.2025";"KARTENZAHLUNG";"BIO COMPANY HAMBURG";"";"";"";"";"";"";"BIO COMPANY SE";"";"";"-53,90";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"13.02.2025";"13.02.2025";"KARTENZAHLUNG";"DB FERNVERKEHR TICKET";"";"";"";"";"";"";"Deutsche Bahn AG";"";"";"-59,80";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"13.02.2025";"13.02.2025";"KARTENZAHLUNG";"DEAN+DAVID 2201";"";"";"";"";"";"";"dean and david";"";"";"-11,20";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"14.02.2025";"14.02.2025";"KARTENZAHLUNG";"BIO COMPANY HAMBURG";"";"";"";"";"";"";"BIO COMPANY SE";"";"";"-38,50";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"15.02.2025";"15.02.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-60,20";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"15.02.2025";"15.02.2025";"FOLGELASTSCHRIFT";"KRANKENVERSICHERUNG 02/2025";"";"";"";"";"";"";"Techniker Krankenkasse";"";"";"-840,00";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"22.02.2025";"22.02.2025";"KARTENZAHLUNG";"ADOBE CREATIVE CLOUD ABO";"";"";"";"";"";"";"Adobe Systems Software";"";"";"-64,99";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"23.02.2025";"23.02.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-16,20";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"24.02.2025";"24.02.2025";"GUTSCHRIFT";"RECHNUNG 2025-003 RELAUNCH";"";"";"";"";"";"";"Werft Digital GmbH";"";"";"3.180,00";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"25.02.2025";"25.02.2025";"FOLGELASTSCHRIFT";"DEUTSCHLANDTICKET 02/2025";"";"";"";"";"";"";"HVV Hamburger Verkehrsverbund";"";"";"-49,00";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"26.02.2025";"26.02.2025";"KARTENZAHLUNG";"STARBUCKS MOENCKEBERGSTRASSE";"";"";"";"";"";"";"Starbucks Coffee";"";"";"-4,50";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"27.02.2025";"27.02.2025";"KARTENZAHLUNG";"CAFE ELBGOLD OTTENSEN";"";"";"";"";"";"";"Cafe Elbgold";"";"";"-4,80";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"28.02.2025";"28.02.2025";"KARTENZAHLUNG";"DM FIL 2207 HAMBURG";"";"";"";"";"";"";"dm drogerie markt";"";"";"-25,90";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"01.03.2025";"01.03.2025";"DAUERAUFTRAG";"ATELIERMIETE 03/2025";"";"";"";"";"";"";"Atelierhaus Ottensen GbR";"";"";"-780,00";"EUR";"Umsatz gebucht"
"DE07200505501003456789";"02.03.2025";"02.03.2025";"KARTENZAHLUNG";"AMZN Mktp DE 552108";"";"";"";"";"";"";"AMAZON EU S.A R.L.";"";"";"-31,90";"EUR";"Umsatz gebucht"
