"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE95400501500004567890";"01.01.2025";"01.01.2025";"GUTSCHRIFT";"RENTE 01/2025";"";"";"";"";"";"";"Deutsche Rentenversicherung Bund";"";"";"1.580,00";"EUR";"Umsatz gebucht"
"DE95400501500004567890";"01.01.2025";"01.01.2025";"DAUERAUFTRAG";"MIETE 01/2025";"";"";"";"";"";"";"Hausverwaltung Muenster-West";"";"";"-720,00";"EUR";"Umsatz gebucht"
"DE95400501500004567890";"02.01.2025";"02.01.2025";"KARTENZAHLUNG";"EDEKA SAGT DANKE";"";"";"";"";"";"";"EDEKA Kaufpark";"";"";"-62,30";"EUR";"Umsatz gebucht"
"DE95400501500004567890";"04.01.2025";"04.01.2025";"FOLGELASTSCHRIFT";"FESTNETZ UND INTERNET";"";"";"";"";"";"";"Telekom Deutschland GmbH";"";"";"-34,99";"EUR";"Umsatz gebucht"
"DE95400501500004567890";"05.01.2025";"05.01.2025";"FOLGELASTSCHRIFT";"STROM UND GAS ABSCHLAG 01/2025";"";"";"";"";"";"";"Stadtwerke Muenster GmbH";"";"";"-98,00";"EUR";"Umsatz gebucht"
"DE95400501500004567890";"06.01.2025";"06.01.2025";"KARTENZAHLUNG";"NETTO FILIALE 1180";"";"";"";"";"";"";"NETTO MARKEN-DISCOUNT";"";"";"-35,20";"EUR";"Umsatz gebucht"
"DE95400501500004567890";"07.01.2025";"07.01.2025";"KARTENZAHLUNG";"LOEWEN APOTHEKE";"";"";"";"";"";"";"Loewen-Apotheke Muenster";"";"";"-38,90";"EUR";"Umsatz gebucht"
"DE95400501500004567890";"08.01.2025";"08.01.2025";"FOLGELASTSCHRIFT";"HAUSRAT UND HAFTPFLICHT";"";"";"";"";"";"";"HUK-COBURG Versicherung";"";"";"-42,00";"EUR";"Umsatz gebucht"
"DE95400501500004567890";"08.01.2025";"08.01.2025";"BARGELDAUSZAHLUNG";"GA NR00012345 AUSZAHLUNG";"";"";"";"";"";"";"Sparkasse Geldautomat";"";"";"-178,90";"EUR";"Umsatz gebucht"
"DE95400501500004567890";"09.01.2025";"09.01.2025";"KARTENZAHLUNG";"ALDI SUED SAGT DANKE";"";"";"";"";"";"";"ALDI SÜD";"";"";"-38,90";"EUR";"Umsatz gebucht"
"DE95400501500004567890";"12.01.2025";"12.01.2025";"KARTENZAHLUNG";"LOEWEN APOTHEKE";"";"";"";"";"";"";"Loewen-Apotheke Muenster";"";"";"-30,60";"EUR";"Umsatz gebucht"
"DE95400501500004567890";"12.01.2025";"12.01.2025";"FOLGELASTSCHRIFT";"ZUSATZVERSICHERUNG 01/2025";"";"";"";"";"";"";"Techniker Krankenkasse";"";"";"-68,00";"EUR";"Umsatz gebucht"
"DE95400501500004567890";"13.01.2025";"13.01.2025";"BARGELDAUSZAHLUNG";"GA NR00012345 AUSZAHLUNG";"";"";"";"";"";"";"Sparkasse Geldautomat";"";"";"-117,20";"EUR";"Umsatz gebucht"
"DE95400501500004567890";"15.01.2025";"15.01.2025";"GUTSCHRIFT";"BETRIEBSRENTE 01/2025";"";"";"";"";"";"";"Ruhegehaltskasse Westfalen";"";"";"320,00";"EUR";"Umsatz gebucht"
"DE95400501500004567890";"17.01.2025";"17.01.2025";"KARTENZAHLUNG";"APOTHEKE PRINZIPALMARKT";"";"";"";"";"";"";"Apotheke am Prinzipalmarkt";"";"";"-34,70";"EUR";"Umsatz gebucht"
