"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE21860555920001234567";"01.01.2025";"01.01.2025";"DAUERAUFTRAG";"MIETE WG ZIMMER 01/2025";"";"";"";"";"";"";"WG Hausverwaltung Lindenau";"";"";"-380,00";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"02.01.2025";"02.01.2025";"FOLGELASTSCHRIFT";"DEUTSCHLANDTICKET 01/2025";"";"";"";"";"";"";"Deutsche Bahn AG";"";"";"-29,00";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"04.01.2025";"04.01.2025";"KARTENZAHLUNG";"CAFE PUSCHKIN LEIPZIG";"";"";"";"";"";"";"Cafe Puschkin";"";"";"-10,70";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"05.01.2025";"05.01.2025";"FOLGELASTSCHRIFT";"SPOTIFY PREMIUM STUDENT";"";"";"";"";"";"";"SPOTIFY AB";"";"";"-5,99";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"05.01.2025";"05.01.2025";"KARTENZAHLUNG";"DM FIL 4412 LEIPZIG";"";"";"";"";"";"";"dm drogerie markt";"";"";"-17,90";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"06.01.2025";"06.01.2025";"KARTENZAHLUNG";"NETTO FILIALE 2201";"";"";"";"";"";"";"NETTO MARKEN-DISCOUNT";"";"";"-13,30";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"07.01.2025";"07.01.2025";"FOLGELASTSCHRIFT";"NETFLIX BASIS ABO";"";"";"";"";"";"";"NETFLIX INTERNATIONAL BV";"";"";"-4,99";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"10.01.2025";"10.01.2025";"FOLGELASTSCHRIFT";"MITGLIEDSBEITRAG 01/2025";"";"";"";"";"";"";"McFIT GmbH";"";"";"-19,90";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"11.01.2025";"11.01.2025";"KARTENZAHLUNG";"PENNY 4408 LEIPZIG";"";"";"";"";"";"";"PENNY Markt GmbH";"";"";"-20,70";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"12.01.2025";"12.01.2025";"KARTENZAHLUNG";"BAECKEREI STEINECKE";"";"";"";"";"";"";"Bäckerei Steinecke";"";"";"-2,40";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"12.01.2025";"12.01.2025";"KARTENZAHLUNG";"CAFE PUSCHKIN LEIPZIG";"";"";"";"";"";"";"Cafe Puschkin";"";"";"-13,40";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"12.01.2025";"12.01.2025";"FOLGELASTSCHRIFT";"MOBILFUNK 01/2025";"";"";"";"";"";"";"congstar GmbH";"";"";"-12,99";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"13.01.2025";"13.01.2025";"BARGELDAUSZAHLUNG";"GA NR00012345 AUSZAHLUNG";"";"";"";"";"";"";"Sparkasse Geldautomat";"";"";"-62,20";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"15.01.2025";"15.01.2025";"KARTENZAHLUNG";"LIDL DANKT IHNEN";"";"";"";"";"";"";"LIDL Vertriebs GmbH";"";"";"-22,40";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"15.01.2025";"15.01.2025";"GUTSCHRIFT";"BAFOEG 01/2025";"";"";"";"";"";"";"Studentenwerk Leipzig";"";"";"992,00";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"21.01.2025";"21.01.2025";"KARTENZAHLUNG";"BAECKEREI STEINECKE";"";"";"";"";"";"";"Bäckerei Steinecke";"";"";"-4,80";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"21.01.2025";"21.01.2025";"KARTENZAHLUNG";"DECATHLON LEIPZIG";"";"";"";"";"";"";"Decathlon Deutschland";"";"";"-51,20";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"23.01.2025";"23.01.2025";"KARTENZAHLUNG";"PENNY 4408 LEIPZIG";"";"";"";"";"";"";"PENNY Markt GmbH";"";"";"-21,80";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"24.01.2025";"24.01.2025";"KARTENZAHLUNG";"DECATHLON LEIPZIG";"";"";"";"";"";"";"Decathlon Deutschland";"";"";"-47,10";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"24.01.2025";"24.01.2025";"KARTENZAHLUNG";"LIEFERANDO BESTELLUNG";"";"";"";"";"";"";"Lieferando.de";"";"";"-22,70";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"24.01.2025";"24.01.2025";"KARTENZAHLUNG";"MCDONALDS 1188 LEIPZIG";"";"";"";"";"";"";"MCDONALDS DEUTSCHLAND";"";"";"-6,90";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"24.01.2025";"24.01.2025";"BARGELDAUSZAHLUNG";"GA NR00012345 AUSZAHLUNG";"";"";"";"";"";"";"Sparkasse Geldautomat";"";"";"-154,10";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"26.01.2025";"26.01.2025";"KARTENZAHLUNG";"LIDL DANKT IHNEN";"";"";"";"";"";"";"LIDL Vertriebs GmbH";"";"";"-19,00";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"28.01.2025";"28.01.2025";"KARTENZAHLUNG";"NETTO FILIALE 2201";"";"";"";"";"";"";"NETTO MARKEN-DISCOUNT";"";"";"-27,30";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"28.01.2025";"28.01.2025";"LOHN  GEHALT";"HIWI VERTRAG 01/2025";"";"";"";"";"";"";"Universitaet Leipzig";"";"";"520,00";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"01.02.2025";"01.02.2025";"KARTENZAHLUNG";"AMZN Mktp DE 774512";"";"";"";"";"";"";"AMAZON EU S.A R.L.";"";"";"-63,80";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"01.02.2025";"01.02.2025";"DAUERAUFTRAG";"MIETE WG ZIMMER 02/2025";"";"";"";"";"";"";"WG Hausverwaltung Lindenau";"";"";"-380,00";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"02.02.2025";"02.02.2025";"FOLGELASTSCHRIFT";"DEUTSCHLANDTICKET 02/2025";"";"";"";"";"";"";"Deutsche Bahn AG";"";"";"-29,00";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"05.02.2025";"05.02.2025";"KARTENZAHLUNG";"DOENER HAUS CONNEWITZ";"";"";"";"";"";"";"Döner Haus Connewitz";"";"";"-9,70";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"05.02.2025";"05.02.2025";"FOLGELASTSCHRIFT";"SPOTIFY PREMIUM STUDENT";"";"";"";"";"";"";"SPOTIFY AB";"";"";"-5,99";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"06.02.2025";"06.02.2025";"KARTENZAHLUNG";"LIDL DANKT IHNEN";"";"";"";"";"";"";"LIDL Vertriebs GmbH";"";"";"-11,40";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"07.02.2025";"07.02.2025";"FOLGELASTSCHRIFT";"NETFLIX BASIS ABO";"";"";"";"";"";"";"NETFLIX INTERNATIONAL BV";"";"";"-4,99";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"08.02.2025";"08.02.2025";"KARTENZAHLUNG";"DOENER HAUS CONNEWITZ";"";"";"";"";"";"";"Döner Haus Connewitz";"";"";"-9,50";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"08.02.2025";"08.02.2025";"KARTENZAHLUNG";"DOENER HAUS CONNEWITZ";"";"";"";"";"";"";"Döner Haus Connewitz";"";"";"-8,50";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"10.02.2025";"10.02.2025";"FOLGELASTSCHRIFT";"MITGLIEDSBEITRAG 02/2025";"";"";"";"";"";"";"McFIT GmbH";"";"";"-19,90";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"12.02.2025";"12.02.2025";"KARTENZAHLUNG";"CAFE PUSCHKIN LEIPZIG";"";"";"";"";"";"";"Cafe Puschkin";"";"";"-10,60";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"12.02.2025";"12.02.2025";"FOLGELASTSCHRIFT";"MOBILFUNK 02/2025";"";"";"";"";"";"";"congstar GmbH";"";"";"-12,99";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"13.02.2025";"13.02.2025";"KARTENZAHLUNG";"PENNY 4408 LEIPZIG";"";"";"";"";"";"";"PENNY Markt GmbH";"";"";"-26,30";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"13.02.2025";"13.02.2025";"BARGELDAUSZAHLUNG";"GA NR00012345 AUSZAHLUNG";"";"";"";"";"";"";"Sparkasse Geldautomat";"";"";"-94,40";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"14.02.2025";"14.02.2025";"KARTENZAHLUNG";"NETTO FILIALE 2201";"";"";"";"";"";"";"NETTO MARKEN-DISCOUNT";"";"";"-24,60";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"15.02.2025";"15.02.2025";"KARTENZAHLUNG";"CAFE PUSCHKIN LEIPZIG";"";"";"";"";"";"";"Cafe Puschkin";"";"";"-9,80";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"15.02.2025";"15.02.2025";"GUTSCHRIFT";"BAFOEG 02/2025";"";"";"";"";"";"";"Studentenwerk Leipzig";"";"";"992,00";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"16.02.2025";"16.02.2025";"KARTENZAHLUNG";"DM FIL 4412 LEIPZIG";"";"";"";"";"";"";"dm drogerie markt";"";"";"-16,70";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"17.02.2025";"17.02.2025";"KARTENZAHLUNG";"LIDL DANKT IHNEN";"";"";"";"";"";"";"LIDL Vertriebs GmbH";"";"";"-10,30";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"22.02.2025";"22.02.2025";"KARTENZAHLUNG";"BAECKEREI STEINECKE";"";"";"";"";"";"";"Bäckerei Steinecke";"";"";"-8,40";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"22.02.2025";"22.02.2025";"KARTENZAHLUNG";"DM FIL 4412 LEIPZIG";"";"";"";"";"";"";"dm drogerie markt";"";"";"-20,60";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"25.02.2025";"25.02.2025";"KARTENZAHLUNG";"BAECKEREI STEINECKE";"";"";"";"";"";"";"Bäckerei Steinecke";"";"";"-8,30";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"26.02.2025";"26.02.2025";"KARTENZAHLUNG";"DECATHLON LEIPZIG";"";"";"";"";"";"";"Decathlon Deutschland";"";"";"-21,30";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"28.02.2025";"28.02.2025";"LOHN  GEHALT";"HIWI VERTRAG 02/2025";"";"";"";"";"";"";"Universitaet Leipzig";"";"";"520,00";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"01.03.2025";"01.03.2025";"DAUERAUFTRAG";"MIETE WG ZIMMER 03/2025";"";"";"";"";"";"";"WG Hausverwaltung Lindenau";"";"";"-380,00";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"02.03.2025";"02.03.2025";"FOLGELASTSCHRIFT";"DEUTSCHLANDTICKET 03/2025";"";"";"";"";"";"";"Deutsche Bahn AG";"";"";"-29,00";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"02.03.2025";"02.03.2025";"KARTENZAHLUNG";"NETTO FILIALE 2201";"";"";"";"";"";"";"NETTO MARKEN-DISCOUNT";"";"";"-6,60";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"04.03.2025";"04.03.2025";"KARTENZAHLUNG";"DECATHLON LEIPZIG";"";"";"";"";"";"";"Decathlon Deutschland";"";"";"-73,10";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"04.03.2025";"04.03.2025";"KARTENZAHLUNG";"LIEFERANDO BESTELLUNG";"";"";"";"";"";"";"Lieferando.de";"";"";"-16,00";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"05.03.2025";"05.03.2025";"KARTENZAHLUNG";"LIDL DANKT IHNEN";"";"";"";"";"";"";"LIDL Vertriebs GmbH";"";"";"-25,70";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"05.03.2025";"05.03.2025";"KARTENZAHLUNG";"MCDONALDS 1188 LEIPZIG";"";"";"";"";"";"";"MCDONALDS DEUTSCHLAND";"";"";"-5,00";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"05.03.2025";"05.03.2025";"FOLGELASTSCHRIFT";"SPOTIFY PREMIUM STUDENT";"";"";"";"";"";"";"SPOTIFY AB";"";"";"-5,99";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"07.03.2025";"07.03.2025";"FOLGELASTSCHRIFT";"NETFLIX BASIS ABO";"";"";"";"";"";"";"NETFLIX INTERNATIONAL BV";"";"";"-4,99";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"08.03.2025";"08.03.2025";"BARGELDAUSZAHLUNG";"GA NR00012345 AUSZAHLUNG";"";"";"";"";"";"";"Sparkasse Geldautomat";"";"";"-192,90";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"09.03.2025";"09.03.2025";"KARTENZAHLUNG";"BAECKEREI STEINECKE";"";"";"";"";"";"";"Bäckerei Steinecke";"";"";"-3,50";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"10.03.2025";"10.03.2025";"FOLGELASTSCHRIFT";"MITGLIEDSBEITRAG 03/2025";"";"";"";"";"";"";"McFIT GmbH";"";"";"-19,90";"EUR";"Umsatz gebucht"
"DE21860555920001234567";"11.03.2025";"11.03.2025";"KARTENZAHLUNG";"ALDI SUED SAGT DANKE";"";"";"";"";"";"";"ALDI SÜD";"";"";"-38,60";"EUR";"Umsatz gebucht"
