"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE02120300000000202051";"01.01.2025";"01.01.2025";"FOLGELASTSCHRIFT";"MITGLIEDSBEITRAG 01/2025";"";"";"";"";"";"";"Fitness First Germany";"";"";"-39,90";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"01.01.2025";"01.01.2025";"DAUERAUFTRAG";"MIETE WOHNUNG 12 01/2025";"";"";"";"";"";"";"Hausverwaltung Bergmann GmbH";"";"";"-1.150,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"02.01.2025";"02.01.2025";"FOLGELASTSCHRIFT";"HAUSRAT UND HAFTPFLICHT 01/2025";"";"";"";"";"";"";"Allianz Versicherungs-AG";"";"";"-42,50";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"02.01.2025";"02.01.2025";"KARTENZAHLUNG";"LIDL DANKT IHNEN";"";"";"";"";"";"";"LIDL Vertriebs GmbH";"";"";"-25,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"04.01.2025";"04.01.2025";"KARTENZAHLUNG";"KAUFLAND 4711 BERLIN";"";"";"";"";"";"";"KAUFLAND BERLIN";"";"";"-85,10";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"04.01.2025";"04.01.2025";"KARTENZAHLUNG";"KAUFLAND 4711 BERLIN";"";"";"";"";"";"";"KAUFLAND BERLIN";"";"";"-79,80";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"05.01.2025";"05.01.2025";"KARTENZAHLUNG";"DB FERNVERKEHR TICKET";"";"";"";"";"";"";"Deutsche Bahn AG";"";"";"-29,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"05.01.2025";"05.01.2025";"KARTENZAHLUNG";"EDEKA SAGT DANKE";"";"";"";"";"";"";"EDEKA Sander";"";"";"-52,30";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"05.01.2025";"05.01.2025";"FOLGELASTSCHRIFT";"MAGENTA ZUHAUSE 100 MBIT";"";"";"";"";"";"";"Telekom Deutschland GmbH";"";"";"-39,99";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"06.01.2025";"06.01.2025";"KARTENZAHLUNG";"LIEFERANDO BESTELLUNG";"";"";"";"";"";"";"Lieferando.de";"";"";"-29,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"07.01.2025";"07.01.2025";"FOLGELASTSCHRIFT";"NETFLIX STANDARD ABO";"";"";"";"";"";"";"NETFLIX INTERNATIONAL BV";"";"";"-12,99";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"08.01.2025";"08.01.2025";"BARGELDAUSZAHLUNG";"GA NR00012345 BLZ12030000 01.01/BERLIN";"";"";"";"";"";"";"Sparkasse Geldautomat";"";"";"-200,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"08.01.2025";"08.01.2025";"FOLGELASTSCHRIFT";"MOBILFUNK RECHNUNG 01/2025";"";"";"";"";"";"";"Vodafone GmbH";"";"";"-19,99";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"10.01.2025";"10.01.2025";"ONLINE-UEBERWEISUNG";"PP.4711.PP . LEA HOFFMANN, Ihre Zahlung";"";"";"";"";"";"";"PayPal Europe S.a.r.l.";"";"";"-31,50";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"10.01.2025";"10.01.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-40,90";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"11.01.2025";"11.01.2025";"FOLGELASTSCHRIFT";"SPOTIFY PREMIUM";"";"";"";"";"";"";"SPOTIFY AB";"";"";"-10,99";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"15.01.2025";"15.01.2025";"KARTENZAHLUNG";"EDEKA SAGT DANKE";"";"";"";"";"";"";"EDEKA Sander";"";"";"-60,30";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"15.01.2025";"15.01.2025";"FOLGELASTSCHRIFT";"STROM ABSCHLAG 01/2025";"";"";"";"";"";"";"Vattenfall Europe Sales GmbH";"";"";"-78,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"18.01.2025";"18.01.2025";"KARTENZAHLUNG";"EDEKA SAGT DANKE";"";"";"";"";"";"";"EDEKA Sander";"";"";"-24,40";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"19.01.2025";"19.01.2025";"KARTENZAHLUNG";"AMZN PRIME DE MITGLIEDSCHAFT";"";"";"";"";"";"";"AMAZON PRIME MEMBERSHIP";"";"";"-8,99";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"20.01.2025";"20.01.2025";"KARTENZAHLUNG";"AMZN Mktp DE 837886";"";"";"";"";"";"";"AMAZON EU S.A R.L.";"";"";"-61,10";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"20.01.2025";"20.01.2025";"KARTENZAHLUNG";"NETTO FILIALE 3312";"";"";"";"";"";"";"NETTO MARKEN-DISCOUNT";"";"";"-38,80";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"22.01.2025";"22.01.2025";"KARTENZAHLUNG";"ADOBE CREATIVE CLOUD ABO";"";"";"";"";"";"";"ADOBE SYSTEMS SOFTWARE";"";"";"-23,79";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"23.01.2025";"23.01.2025";"KARTENZAHLUNG";"CAFE MILCHBART";"";"";"";"";"";"";"Cafe Milchbart";"";"";"-11,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"23.01.2025";"23.01.2025";"KARTENZAHLUNG";"LIDL DANKT IHNEN";"";"";"";"";"";"";"LIDL Vertriebs GmbH";"";"";"-19,60";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"23.01.2025";"23.01.2025";"KARTENZAHLUNG";"VAPIANO MITTE";"";"";"";"";"";"";"VAPIANO Berlin Mitte";"";"";"-14,10";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"24.01.2025";"24.01.2025";"KARTENZAHLUNG";"DOENER HAUS";"";"";"";"";"";"";"Döner Haus Kreuzberg";"";"";"-8,40";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"25.01.2025";"25.01.2025";"FOLGELASTSCHRIFT";"DEUTSCHLANDTICKET 01/2025";"";"";"";"";"";"";"BVG Berliner Verkehrsbetriebe";"";"";"-49,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"25.01.2025";"25.01.2025";"KARTENZAHLUNG";"LIDL DANKT IHNEN";"";"";"";"";"";"";"LIDL Vertriebs GmbH";"";"";"-47,50";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"25.01.2025";"25.01.2025";"KARTENZAHLUNG";"LIEFERANDO BESTELLUNG";"";"";"";"";"";"";"Lieferando.de";"";"";"-24,70";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"25.01.2025";"25.01.2025";"KARTENZAHLUNG";"NETTO FILIALE 3312";"";"";"";"";"";"";"NETTO MARKEN-DISCOUNT";"";"";"-37,40";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"26.01.2025";"26.01.2025";"BARGELDAUSZAHLUNG";"GA NR00012345 BLZ12030000 01.01/BERLIN";"";"";"";"";"";"";"Sparkasse Geldautomat";"";"";"-100,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"27.01.2025";"27.01.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-19,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"28.01.2025";"28.01.2025";"KARTENZAHLUNG";"DOENER HAUS";"";"";"";"";"";"";"Döner Haus Kreuzberg";"";"";"-9,10";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"28.01.2025";"28.01.2025";"LOHN  GEHALT";"GEHALT 01/2025 PERS.NR 4711";"";"";"";"";"";"";"Mustermann Systems GmbH";"";"";"2.850,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"28.01.2025";"28.01.2025";"KARTENZAHLUNG";"NETTO FILIALE 3312";"";"";"";"";"";"";"NETTO MARKEN-DISCOUNT";"";"";"-19,90";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"01.02.2025";"01.02.2025";"KARTENZAHLUNG";"ALDI SUED SAGT DANKE";"";"";"";"";"";"";"ALDI SÜD";"";"";"-40,40";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"01.02.2025";"01.02.2025";"FOLGELASTSCHRIFT";"MITGLIEDSBEITRAG 02/2025";"";"";"";"";"";"";"Fitness First Germany";"";"";"-39,90";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"01.02.2025";"01.02.2025";"DAUERAUFTRAG";"MIETE WOHNUNG 12 02/2025";"";"";"";"";"";"";"Hausverwaltung Bergmann GmbH";"";"";"-1.150,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"02.02.2025";"02.02.2025";"FOLGELASTSCHRIFT";"HAUSRAT UND HAFTPFLICHT 02/2025";"";"";"";"";"";"";"Allianz Versicherungs-AG";"";"";"-42,50";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"03.02.2025";"03.02.2025";"KARTENZAHLUNG";"DEAN+DAVID 1188";"";"";"";"";"";"";"DEAN AND DAVID";"";"";"-16,80";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"03.02.2025";"03.02.2025";"KARTENZAHLUNG";"REWE SAGT DANKE. BIS BALD";"";"";"";"";"";"";"REWE Markt GmbH";"";"";"-42,80";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"04.02.2025";"04.02.2025";"KARTENZAHLUNG";"BAECKEREI STEINECKE";"";"";"";"";"";"";"Bäckerei Steinecke";"";"";"-3,30";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"05.02.2025";"05.02.2025";"KARTENZAHLUNG";"LIDL DANKT IHNEN";"";"";"";"";"";"";"LIDL Vertriebs GmbH";"";"";"-30,50";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"05.02.2025";"05.02.2025";"FOLGELASTSCHRIFT";"MAGENTA ZUHAUSE 100 MBIT";"";"";"";"";"";"";"Telekom Deutschland GmbH";"";"";"-39,99";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"06.02.2025";"06.02.2025";"KARTENZAHLUNG";"DM FIL 8817 BERLIN";"";"";"";"";"";"";"dm drogerie markt";"";"";"-13,60";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"07.02.2025";"07.02.2025";"FOLGELASTSCHRIFT";"NETFLIX STANDARD ABO";"";"";"";"";"";"";"NETFLIX INTERNATIONAL BV";"";"";"-12,99";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"07.02.2025";"07.02.2025";"ONLINE-UEBERWEISUNG";"PP.4711.PP . JONAS KELLER, Ihre Zahlung";"";"";"";"";"";"";"PayPal Europe S.a.r.l.";"";"";"-23,50";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"08.02.2025";"08.02.2025";"FOLGELASTSCHRIFT";"MOBILFUNK RECHNUNG 02/2025";"";"";"";"";"";"";"Vodafone GmbH";"";"";"-19,99";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"10.02.2025";"10.02.2025";"ONLINE-UEBERWEISUNG";"PP.4711.PP . MAX SCHULZ, Ihre Zahlung";"";"";"";"";"";"";"PayPal Europe S.a.r.l.";"";"";"-10,50";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"10.02.2025";"10.02.2025";"BARGELDAUSZAHLUNG";"GA NR00012345 BLZ12030000 01.02/BERLIN";"";"";"";"";"";"";"Sparkasse Geldautomat";"";"";"-50,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"11.02.2025";"11.02.2025";"KARTENZAHLUNG";"KAUFLAND 4711 BERLIN";"";"";"";"";"";"";"KAUFLAND BERLIN";"";"";"-36,50";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"11.02.2025";"11.02.2025";"FOLGELASTSCHRIFT";"SPOTIFY PREMIUM";"";"";"";"";"";"";"SPOTIFY AB";"";"";"-10,99";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"11.02.2025";"11.02.2025";"KARTENZAHLUNG";"DM FIL 8817 BERLIN";"";"";"";"";"";"";"dm drogerie markt";"";"";"-7,60";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"12.02.2025";"12.02.2025";"KARTENZAHLUNG";"KAUFLAND 4711 BERLIN";"";"";"";"";"";"";"KAUFLAND BERLIN";"";"";"-29,40";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"12.02.2025";"12.02.2025";"KARTENZAHLUNG";"LIDL DANKT IHNEN";"";"";"";"";"";"";"LIDL Vertriebs GmbH";"";"";"-53,20";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"15.02.2025";"15.02.2025";"KARTENZAHLUNG";"LIEFERANDO BESTELLUNG";"";"";"";"";"";"";"Lieferando.de";"";"";"-32,70";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"15.02.2025";"15.02.2025";"FOLGELASTSCHRIFT";"STROM ABSCHLAG 02/2025";"";"";"";"";"";"";"Vattenfall Europe Sales GmbH";"";"";"-78,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"17.02.2025";"17.02.2025";"KARTENZAHLUNG";"DEAN+DAVID 1188";"";"";"";"";"";"";"DEAN AND DAVID";"";"";"-9,80";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"17.02.2025";"17.02.2025";"KARTENZAHLUNG";"LIEFERANDO BESTELLUNG";"";"";"";"";"";"";"Lieferando.de";"";"";"-39,30";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"18.02.2025";"18.02.2025";"KARTENZAHLUNG";"NETTO FILIALE 3312";"";"";"";"";"";"";"NETTO MARKEN-DISCOUNT";"";"";"-37,10";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"19.02.2025";"19.02.2025";"KARTENZAHLUNG";"AMZN PRIME DE MITGLIEDSCHAFT";"";"";"";"";"";"";"AMAZON PRIME MEMBERSHIP";"";"";"-8,99";"EUR";"Umsatz gebucht"
